source,alert_id,title,date,category,mapped_tp_ids,url,severity,summary
cfpb,cfpb-24755586,Improper use of your report,2026-07-30T03:56:09.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755609,Incorrect information on your report,2026-07-30T03:55:36.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755626,Incorrect information on your report,2026-07-30T03:55:23.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755563,Incorrect information on your report,2026-07-30T03:54:43.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755549,Incorrect information on your report,2026-07-30T03:53:49.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755574,Improper use of your report,2026-07-30T03:53:37.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755544,Improper use of your report,2026-07-30T03:53:37.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755333,Improper use of your report,2026-07-30T03:47:11.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755324,Incorrect information on your report,2026-07-30T03:46:39.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755642,Incorrect information on your report,2026-07-30T03:46:29.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755669,Incorrect information on your report,2026-07-30T03:45:57.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755301,Problem with a company's investigation into an existing problem,2026-07-30T03:45:37.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755675,Incorrect information on your report,2026-07-30T03:45:32.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755377,Incorrect information on your report,2026-07-30T03:45:13.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755396,Incorrect information on your report,2026-07-30T03:45:04.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755334,Incorrect information on your report,2026-07-30T03:45:01.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24755130,Improper use of your report,2026-07-30T03:39:03.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754651,Incorrect information on your report,2026-07-30T03:15:01.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754529,Incorrect information on your report,2026-07-30T03:14:41.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754566,Improper use of your report,2026-07-30T03:14:26.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754512,Incorrect information on your report,2026-07-30T03:13:51.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754419,Incorrect information on your report,2026-07-30T03:07:39.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754423,Incorrect information on your report,2026-07-30T03:07:35.000Z,credit-reporting,TP-0003,,medium,
cfpb,cfpb-24754384,Improper use of your report,2026-07-30T03:07:07.000Z,credit-reporting,TP-0003,,medium,
